Year,country,iso_code,population,gdp,energy_per_capita,Temperature anomaly,co2,co2_per_capita,co2_including_luc,land_use_change_co2,coal_co2,oil_co2,gas_co2,share_global_co2,temperature_change_from_co2,Continent
1987,Albania,ALB,3148843.0,11975300148.0,12914.7783203125,-0.32567585,7.447291851043701,2.36508846282959,9.59032917022705,2.1430370807647705,3.737279891967773,2.821280002593994,0.4506720006465912,0.0352848730981349,0.0001824956998461,Europe
1988,Albania,ALB,3212924.0,12296424628.0,13037.287109375,-0.35708094,7.329222202301025,2.2811686992645264,9.022686004638672,1.6934641599655151,4.017755031585693,2.5770819187164307,0.3555859923362732,0.0334381274878978,0.0001861322525655,Europe
1989,Albania,ALB,3260369.0,12617018592.0,11985.9873046875,-0.6421922,8.98616886138916,2.756181478500366,10.93065357208252,1.944484829902649,4.0560479164123535,4.0963521003723145,0.4470080137252807,0.0404778495430946,0.0001907212572405,Europe
1990,Albania,ALB,3277965.0,12947849077.0,8505.58203125,0.019948184,5.520601749420166,1.6841552257537842,7.285587310791016,1.7649853229522705,2.498847961425781,2.1727519035339355,0.4653280079364776,0.0242854431271553,0.0001936675253091,Europe
1991,Albania,ALB,3282608.0,9375856841.0,6415.62060546875,-1.2654248,4.290225982666016,1.3069565296173096,6.049678802490234,1.7594527006149292,1.480255961418152,2.2277119159698486,0.2748000025749206,0.0184878967702388,0.0001960317022167,Europe
1992,Albania,ALB,3282506.0,8745674435.0,5544.97265625,-0.6397197,2.517116069793701,0.7668275237083435,4.022470474243164,1.505354404449463,0.7999269962310791,1.416383981704712,0.1981469988822937,0.0111770359799265,0.0001974937913473,Europe
1993,Albania,ALB,3277831.0,9636341649.0,4578.2294921875,-0.5184404,2.337999105453491,0.7132762670516968,3.3749477863311768,1.0369486808776855,0.5999469757080078,1.477918028831482,0.1573030054569244,0.0102769769728183,0.0001986449788091,Europe
1994,Albania,ALB,3269417.0,10596114842.0,3980.5712890625,0.56471485,1.923805952072144,0.588424801826477,2.7948851585388184,0.8710793256759644,0.1685439944267273,1.6048320531845093,0.0989279970526695,0.0083736227825284,0.0001994527265196,Europe
1995,Albania,ALB,3258573.0,11600732968.0,4391.91845703125,-0.8153963,2.0890650749206543,0.641098141670227,2.749428033828736,0.660362720489502,0.1612160056829452,1.7733759880065918,0.0512959994375705,0.0088833486661314,0.0002003203408094,Europe
1996,Albania,ALB,3245680.0,12468867839.0,4159.7978515625,-0.7006421,2.017508029937744,0.621597945690155,2.474555253982544,0.4570473432540893,0.1135839968919754,1.7550560235977173,0.0439679995179176,0.0083252936601638,0.0002011179894907,Europe
1997,Albania,ALB,3229665.0,11020137102.0,4001.06201171875,-0.50424504,1.5430090427398682,0.4777613282203674,1.9382445812225344,0.3952356576919555,0.0439679995179176,1.410640001296997,0.0366399995982646,0.0063289115205407,0.0002016908401856,Europe
1998,Albania,ALB,3210134.0,12026242682.0,4636.6005859375,-0.19825058,1.754709005355835,0.546615481376648,2.1624755859375,0.4077665507793426,0.0548450015485286,1.6234049797058103,0.0329070016741752,0.0072222985327243,0.0002024177956627,Europe
